year,team,seed,opponent,win margin,previous tournament,tournament two years back,win percent,wins in last 10,percent of wins away,coach tenure,total seasons coaching,coach final fours,coach championships,coach NBA draft picks,automatic bid,RPI,Sagarin/ SRS,SOS,Total Games,ppg,ppg allowed,Efficiency,Efficiency Allowed,Rbs Per Game,Rbs Per Game Allowed,Steals Per Game,Steals Per Game Allowed,Blocks Per Game,FG%,3-pt%,TS%,free throw rate,assists per game,freshmen play time,sophomore play time,junior play time,senior play time,opp_seed,opp_previous tournament,opp_tournament two years back,opp_win%,opp_wins in last 10,opp_percent of wins away,opp_coach tenure,opp_total seasons coaching,opp_coach final fours,opp_coach championships,opp_coach NBA draft picks,opp_automatic bid,opp_RPI,opp_Sagarin/ SRS,opp_SOS,opp_Total Games,opp_Points Scored Per Game,opp_Points Allowed Per Game,opp_Efficiency,opp_Efficiency Allowed,opp_Rbs Per Game,opp_Rbs Per Game Allowed,opp_Steals Per Game,opp_Steals Per Game Allowed,opp_Blocks Per Game,opp_FG%,opp_3-pt%,opp_TS%,opp_free throw rate,opp_assists per game,opp_freshmen play time,opp_sophomore play time,opp_junior play time,opp_senior play time,Round
1986,Michigan St,5,washington,2,0,0,0.741935484,8,0.304347826,10,15,0,0,14,0,,10,36,31,83.1,71.3,,,,,,,,,,,,,,,,,12,0,1,0.612903226,6,0.473684211,1,7,0,0,3,0,,53,56,31,72.1,69,,,,,,,,,,,,,,,,,1
1986,Virginia,5,depaul,-4,0,1,0.633333333,5,0.210526316,12,17,2,0,20,0,,24,25,30,70.4,64.9,,,,,,,,,,,,,,,,,12,0,1,0.580645161,4,0.222222222,2,2,0,0,2,0,,38,38,31,69.5,66.1,,,,,,,,,,,,,,,,,1
1986,NC State,6,iowa,2,0,0,0.617647059,4,0.142857143,6,15,1,1,13,0,,17,11,34,70.3,63.8,,,,,,,,,,,,,,,,,11,0,0,0.625,5,0.4,3,14,0,0,14,0,,19,20,32,73,66.4,,,,,,,,,,,,,,,,,1
1986,Purdue,6,louisiana st,-7,0,1,0.6875,6,0.363636364,6,8,0,0,6,0,,20,16,32,76.8,70.1,,,,,,,,,,,,,,,,,11,0,1,0.684210526,5,0.384615385,14,14,1,0,16,0,,22,8,38,74.7,70.3,,,,,,,,,,,,,,,,,1
1986,St Joseph's,6,richmond,1,0,0,0.8125,9,0.269230769,5,5,0,0,6,1,,59,123,32,69.4,62.7,,,,,,,,,,,,,,,,,11,0,1,0.766666667,7,0.391304348,5,5,0,0,5,0,,62,124,30,65.9,59.5,,,,,,,,,,,,,,,,,1
1986,UAB,6,missouri,2,0,1,0.694444444,5,0.28,8,25,0,0,23,0,,30,45,36,67.6,60.5,,,,,,,,,,,,,,,,,11,0,0,0.6,4,0.19047619,19,25,0,0,25,0,,33,32,35,73.1,69.3,,,,,,,,,,,,,,,,,1
1986,Bradley,7,texas el paso,18,0,0,0.914285714,9,0.46875,8,8,0,0,6,0,,44,92,35,71.5,64.1,,,,,,,,,,,,,,,,,10,0,1,0.818181818,8,0.259259259,25,25,0,0,15,1,,56,129,33,67.5,60.2,,,,,,,,,,,,,,,,,1
1986,Iowa St,7,miami oh,2,0,0,0.666666667,7,0.272727273,6,21,0,0,18,0,,26,6,33,74.8,71,,,,,,,,,,,,,,,,,10,0,1,0.774193548,8,0.458333333,2,2,0,0,0,0,,57,133,31,76.2,68.7,,,,,,,,,,,,,,,,,1
1986,Navy,7,tulsa,19,0,0,0.857142857,10,0.333333333,6,13,0,0,0,1,,28,119,35,76.1,63.9,,,,,,,,,,,,,,,,,10,0,1,0.71875,7,0.260869565,1,16,0,0,10,1,,42,76,32,65,58.5,,,,,,,,,,,,,,,,,1
1986,Virginia Tech,7,villanova,-9,0,0,0.709677419,6,0.363636364,10,19,0,0,11,0,,36,53,31,79,73.4,,,,,,,,,,,,,,,,,10,0,1,0.621621622,6,0.391304348,13,15,1,1,13,0,,48,46,37,69.8,66.2,,,,,,,,,,,,,,,,,1
1986,Auburn,8,arizona,10,0,1,0.666666667,7,0.227272727,8,10,0,0,8,0,,25,22,33,72.1,66.8,,,,,,,,,,,,,,,,,9,0,0,0.71875,8,0.260869565,3,13,0,0,17,1,,45,70,32,67.8,62.2,,,,,,,,,,,,,,,,,1
1986,Jacksonville,8,temple,-11,0,0,0.677419355,9,0.285714286,5,5,0,0,1,1,,43,52,31,66.6,62,,,,,,,,,,,,,,,,,9,0,1,0.806451613,8,0.36,4,14,0,0,4,0,,47,144,31,67.6,58,,,,,,,,,,,,,,,,,1
1986,ODU,8,west va,8,0,0,0.741935484,8,0.391304348,1,26,0,0,14,0,,46,57,31,66.3,62.1,,,,,,,,,,,,,,,,,9,0,1,0.666666667,7,0.318181818,8,14,0,0,14,0,,60,111,33,69.8,63.9,,,,,,,,,,,,,,,,,1
1986,W Kentucky,8,nebraska,8,0,0,0.741935484,6,0.304347826,6,6,0,0,3,0,,37,59,31,67.8,62.1,,,,,,,,,,,,,,,,,9,0,0,0.633333333,6,0.368421053,6,10,0,0,6,0,,34,28,30,69.8,67.2,,,,,,,,,,,,,,,,,1
1986,Duke,1,odu,28,0,1,0.925,10,0.27027027,6,11,0,0,6,1,,4,21,40,79.8,67.2,,,,,,,,,,,,,,,,,8,0,0,0.741935484,8,0.391304348,1,26,0,0,14,0,,46,57,31,66.3,62.1,,,,,,,,,,,,,,,,,2
1986,Kansas,1,temple,22,0,1,0.897435897,10,0.257142857,3,5,0,0,9,1,,2,10,39,80.3,67.5,,,,,,,,,,,,,,,,,9,0,1,0.806451613,8,0.36,4,14,0,0,4,0,,47,144,31,67.6,58,,,,,,,,,,,,,,,,,2
1986,Kentucky,1,W Kentucky,7,0,1,0.888888889,10,0.34375,1,17,0,0,20,1,,7,23,36,74.1,61.4,,,,,,,,,,,,,,,,,8,0,0,0.741935484,6,0.304347826,6,6,0,0,3,0,,37,59,31,67.8,62.1,,,,,,,,,,,,,,,,,2
1986,St John's,1,auburn,-16,0,1,0.861111111,9,0.290322581,21,21,1,0,27,1,,16,47,36,77.1,66.2,,,,,,,,,,,,,,,,,8,0,1,0.666666667,7,0.227272727,8,10,0,0,8,0,,25,22,33,72.1,66.8,,,,,,,,,,,,,,,,,2
1986,Georgia Tech,2,villanova,5,0,0,0.794117647,7,0.333333333,5,11,0,0,6,0,,6,2,34,73.8,63.7,,,,,,,,,,,,,,,,,10,0,1,0.621621622,6,0.391304348,13,15,1,1,13,0,,48,46,37,69.8,66.2,,,,,,,,,,,,,,,,,2
1986,Louisville,2,bradley,14,0,1,0.820512821,10,0.21875,15,15,2,0,22,1,,8,9,39,79.3,69.1,,,,,,,,,,,,,,,,,7,0,0,0.914285714,9,0.46875,8,8,0,0,6,0,,44,92,35,71.5,64.1,,,,,,,,,,,,,,,,,2
1986,Michigan,2,iowa st,-3,0,0,0.84375,8,0.259259259,6,6,0,0,9,1,,3,15,32,76.7,64.4,,,,,,,,,,,,,,,,,7,0,0,0.666666667,7,0.272727273,6,21,0,0,18,0,,26,6,33,74.8,71,,,,,,,,,,,,,,,,,2
1986,Syracuse,2,navy,-12,0,1,0.8125,7,0.269230769,10,10,0,0,11,0,,5,43,32,83.4,68.3,,,,,,,,,,,,,,,,,7,0,0,0.857142857,10,0.333333333,6,13,0,0,0,1,,28,119,35,76.1,63.9,,,,,,,,,,,,,,,,,2
1986,Memphis,3,lsu,-2,0,1,0.823529412,6,0.285714286,7,15,1,0,9,0,,12,54,34,82.1,67.9,,,,,,,,,,,,,,,,,11,0,1,0.684210526,5,0.384615385,14,14,1,0,16,0,,22,8,38,74.7,70.3,,,,,,,,,,,,,,,,,2
1986,UNC,3,uab,18,0,1,0.823529412,5,0.214285714,25,25,2,1,55,0,,1,34,34,86.6,69,,,,,,,,,,,,,,,,,6,0,1,0.694444444,5,0.28,8,25,0,0,23,0,,30,45,36,67.6,60.5,,,,,,,,,,,,,,,,,2
1986,Georgetown,4,michigan st,-12,0,1,0.75,6,0.375,14,14,3,1,15,0,,15,42,32,76.7,66,,,,,,,,,,,,,,,,,5,0,0,0.741935484,8,0.304347826,10,15,0,0,14,0,,10,36,31,83.1,71.3,,,,,,,,,,,,,,,,,2
1986,Illinois,4,alabama,2,0,1,0.6875,7,0.318181818,11,24,0,0,20,0,,9,19,32,72.7,61.8,,,,,,,,,,,,,,,,,5,0,1,0.727272727,6,0.291666667,6,6,0,0,7,0,,18,31,33,75,67.4,,,,,,,,,,,,,,,,,2
1986,Oklahoma,4,depaul,-5,0,1,0.742857143,4,0.192307692,6,12,0,0,8,0,,13,33,35,85.9,76.5,,,,,,,,,,,,,,,,,12,0,1,0.580645161,4,0.222222222,2,2,0,0,2,0,,38,38,31,69.5,66.1,,,,,,,,,,,,,,,,,2
1986,UNLV,4,maryland,6,0,1,0.868421053,8,0.424242424,13,18,0,0,38,1,,23,66,38,78.6,68.2,,,,,,,,,,,,,,,,,5,0,1,0.575757576,7,0.368421053,15,26,0,0,31,0,,21,4,33,69.5,65.5,,,,,,,,,,,,,,,,,2
1986,NC State,6,arkansas-little rock,14,0,0,0.617647059,4,0.142857143,6,15,1,1,13,0,,17,11,34,70.3,63.8,,,,,,,,,,,,,,,,,14,0,0,0.676470588,9,0.347826087,2,2,0,0,0,1,,121,210,34,79.8,73.5,,,,,,,,,,,,,,,,,2
1986,St Joseph's,6,cleveland st,-6,0,0,0.8125,9,0.269230769,5,5,0,0,6,1,,59,123,32,69.4,62.7,,,,,,,,,,,,,,,,,14,0,0,0.878787879,10,0.413793103,3,3,0,0,0,1,,27,182,33,87.1,70.9,,,,,,,,,,,,,,,,,2
1986,Duke,1,depaul,7,0,1,0.925,10,0.27027027,6,11,0,0,6,1,,4,21,40,79.8,67.2,,,,,,,,,,,,,,,,,12,0,1,0.580645161,4,0.222222222,2,2,0,0,2,0,,38,38,31,69.5,66.1,,,,,,,,,,,,,,,,,3
1986,Kansas,1,michigan st,10,0,1,0.897435897,10,0.257142857,3,5,0,0,9,1,,2,10,39,80.3,67.5,,,,,,,,,,,,,,,,,5,0,0,0.741935484,8,0.304347826,10,15,0,0,14,0,,10,36,31,83.1,71.3,,,,,,,,,,,,,,,,,3
1986,Kentucky,1,alabama,5,0,1,0.888888889,10,0.34375,1,17,0,0,20,1,,7,23,36,74.1,61.4,,,,,,,,,,,,,,,,,5,0,1,0.727272727,6,0.291666667,6,6,0,0,7,0,,18,31,33,75,67.4,,,,,,,,,,,,,,,,,3
1986,Georgia Tech,2,lsu,-6,0,0,0.794117647,7,0.333333333,5,11,0,0,6,0,,6,2,34,73.8,63.7,,,,,,,,,,,,,,,,,11,0,1,0.684210526,5,0.384615385,14,14,1,0,16,0,,22,8,38,74.7,70.3,,,,,,,,,,,,,,,,,3
1986,Louisville,2,unc,15,0,1,0.820512821,10,0.21875,15,15,2,0,22,1,,8,9,39,79.3,69.1,,,,,,,,,,,,,,,,,3,0,1,0.823529412,5,0.214285714,25,25,2,1,55,0,,1,34,34,86.6,69,,,,,,,,,,,,,,,,,3
1986,UNLV,4,auburn,-7,0,1,0.868421053,8,0.424242424,13,18,0,0,38,1,,23,66,38,78.6,68.2,,,,,,,,,,,,,,,,,8,0,1,0.666666667,7,0.227272727,8,10,0,0,8,0,,25,22,33,72.1,66.8,,,,,,,,,,,,,,,,,3
1986,NC State,6,iowa st,4,0,0,0.617647059,4,0.142857143,6,15,1,1,13,0,,17,11,34,70.3,63.8,,,,,,,,,,,,,,,,,7,0,0,0.666666667,7,0.272727273,6,21,0,0,18,0,,26,6,33,74.8,71,,,,,,,,,,,,,,,,,3
1986,navy,7,cleveland st,1,0,0,0.857142857,10,0.333333333,6,13,0,0,0,1,,28,119,35,76.1,63.9,,,,,,,,,,,,,,,,,14,0,0,0.878787879,10,0.413793103,3,3,0,0,0,1,,27,182,33,87.1,70.9,,,,,,,,,,,,,,,,,3
1986,Duke,1,navy,21,0,1,0.925,10,0.27027027,6,11,0,0,6,1,,4,21,40,79.8,67.2,,,,,,,,,,,,,,,,,7,0,0,0.857142857,10,0.333333333,6,13,0,0,0,1,,28,119,35,76.1,63.9,,,,,,,,,,,,,,,,,4
1986,Kansas,1,nc st,8,0,1,0.897435897,10,0.257142857,3,5,0,0,9,1,,2,10,39,80.3,67.5,,,,,,,,,,,,,,,,,6,0,0,0.617647059,4,0.142857143,6,15,1,1,13,0,,17,11,34,70.3,63.8,,,,,,,,,,,,,,,,,4
1986,Kentucky,1,lsu,-2,0,1,0.888888889,10,0.34375,1,17,0,0,20,1,,7,23,36,74.1,61.4,,,,,,,,,,,,,,,,,11,0,1,0.684210526,5,0.384615385,14,14,1,0,16,0,,22,8,38,74.7,70.3,,,,,,,,,,,,,,,,,4
1986,Louisville,2,auburn,8,0,1,0.820512821,10,0.21875,15,15,2,0,22,1,,8,9,39,79.3,69.1,,,,,,,,,,,,,,,,,8,0,1,0.666666667,7,0.227272727,8,10,0,0,8,0,,25,22,33,72.1,66.8,,,,,,,,,,,,,,,,,4
1986,Duke,1,kansas,4,0,1,0.925,10,0.27027027,6,11,0,0,6,1,,4,21,40,79.8,67.2,,,,,,,,,,,,,,,,,1,0,1,0.897435897,10,0.257142857,3,5,0,0,9,1,,2,10,39,80.3,67.5,,,,,,,,,,,,,,,,,5
1986,Louisville,2,lsu,11,0,1,0.820512821,10,0.21875,15,15,2,0,22,1,,8,9,39,79.3,69.1,,,,,,,,,,,,,,,,,11,0,1,0.684210526,5,0.384615385,14,14,1,0,16,0,,22,8,38,74.7,70.3,,,,,,,,,,,,,,,,,5
1986,Duke,1,louisville,-3,0,1,0.925,10,0.27027027,6,11,0,0,6,1,,4,21,40,79.8,67.2,,,,,,,,,,,,,,,,,2,0,1,0.820512821,10,0.21875,15,15,2,0,22,1,,8,9,39,79.3,69.1,,,,,,,,,,,,,,,,,6
1987,Georgetown,1,bucknell,22,1,1,0.852941176,10,0.310344828,15,15,3,1,19,1,,10,23,34,75.2,66.1,,,,,,,,,,,,,,,,,16,0,0,0.709677419,9,0.318181818,12,12,0,0,2,1,,211,249,31,77.3,76.5,,,,,,,,,,,,,,,,,1
1987,Indiana,1,fairfield,34,1,0,0.882352941,8,0.233333333,16,22,0,1,27,1,,3,6,34,82.5,70.9,,,,,,,,,,,,,,,,,16,1,0,0.483870968,5,0.4,2,2,0,0,0,1,,181,199,31,65.9,66.7,,,,,,,,,,,,,,,,,1
1987,UNC,1,penn,31,1,1,0.888888889,9,0.375,26,26,2,1,58,0,,1,12,36,90.5,74.7,,,,,,,,,,,,,,,,,16,0,1,0.481481481,7,0.461538462,2,4,0,0,0,1,,130,140,27,78.9,79.3,,,,,,,,,,,,,,,,,1
1987,UNLV,1,idaho st,25,1,1,0.948717949,10,0.378378378,14,19,0,0,40,1,,2,44,39,92.5,75.5,,,,,,,,,,,,,,,,,16,0,0,0.483870968,6,0.4,2,8,0,0,2,1,,145,132,31,66.9,68.4,,,,,,,,,,,,,,,,,1
1987,Alabama,2,unc a and t,17,1,1,0.848484848,9,0.357142857,7,7,0,0,9,1,,6,8,33,80,69.6,,,,,,,,,,,,,,,,,15,1,1,0.8,9,0.375,8,16,0,0,2,1,,135,286,30,74.8,63.3,,,,,,,,,,,,,,,,,1
